Link,Movie_Name,Ratings,Movie_category,Film_Actor,Release_Date,Duration,Original_Language,Companies,Description,Box Office,Certificate (MPAA),Directors,Writing_Credits
https://www.rottentomatoes.com/m/dont_move_2024,Don't Move,68%,"Mystery & Thriller, Horror","Adam Schindler, Brian Netto, Kelsey Asbille, Finn Wittrock, Daniel Francis, Dylan Beam","Oct 25, 2024",1h 32m,English,"Raimi Productions,Capstone Studios,Hammerstone Studios","When a killer injects her with a paralytic agent, a woman must run, fight and hide before her body completely shuts down.",,R (Language|Some Strong Violence),"Adam Schindler, Brian Netto","T.J. Cimfel, David White"
https://www.rottentomatoes.com/m/woman_of_the_hour,Woman of the Hour,91%,"Mystery & Thriller, Crime, Drama","Anna Kendrick, Anna Kendrick, Tony Hale, Kelley Jakle, Max Lloyd-Jones, Jedidiah Goodacre","Oct 18, 2024",1h 29m,English,"BoulderLight Pictures,AGC Studios","An aspiring actress crosses paths with a prolific serial killer in '70s LA when they're cast on an episode of ""The Dating Game."" Based on a true story.",,R (Language|A Sexual Reference|Some Drug Use|Violent Content),Anna Kendrick,Ian MacAllister McDonald
https://www.rottentomatoes.com/m/the_wild_robot,The Wild Robot,98%,"Animation, Kids & Family, Adventure","Christopher Sanders, Lupita Nyong'O, Pedro Pascal, Catherine O'Hara, Bill Nighy, Kit Connor","Oct 15, 2024",1h 42m,English,DreamWorks Animation,"The epic adventure follows the journey of a robot--ROZZUM unit 7134, ""Roz"" for short -- that is shipwrecked on an uninhabited island and must learn to adapt to the harsh surroundings, gradually building relationships with the animals on the island and becoming the adoptive parent of an orphaned gosling.",,PG (Thematic Elements|Action/Peril),Christopher Sanders,Christopher Sanders
https://www.rottentomatoes.com/m/trap_2024,Trap,57%,Mystery & Thriller,"M. Night Shyamalan, Josh Hartnett, Ariel Donoghue, Saleka Shyamalan, Hayley Mills, Alison Pill","Aug 30, 2024",1h 45m,English,Blinding Edge Pictures,"A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.",$42.7M,PG-13 (Some Violent Content|Brief Strong Language),M. Night Shyamalan,M. Night Shyamalan
https://www.rottentomatoes.com/m/the_substance,The Substance,91%,"Drama, Horror","Coralie Fargeat, Demi Moore, Margaret Qualley, Dennis Quaid, Hugo Diego Garcia, Gore Abrams","Oct 31, 2024",2h 21m,English,Working Title Films,"Have you ever dreamt of a better version of yourself? You, only better in every way. You should try this new product, it's called The Substance. IT CHANGED MY LIFE. With The Substance, you can generate another you: younger, more beautiful, more perfect. You just have to share time -- one week for one, one week for the other. A perfect balance of seven days each... Easy right? If you respect the balance... What could possibly go wrong?",$14.5M,R (Graphic Nudity|Gore|Language|Strong Violent Content),Coralie Fargeat,Coralie Fargeat
https://www.rottentomatoes.com/m/joker_folie_a_deux,Joker: Folie à Deux,32%,"Musical, Crime, Drama","Todd Phillips, Joaquin Phoenix, Lady Gaga, Zazie Beetz, Brendan Gleeson, Catherine Keener","Oct 29, 2024",2h 18m,English,Joint Effort,"""Joker: Folie à Deux"" finds Arthur Fleck institutionalized at Arkham awaiting trial for his crimes as Joker. While struggling with his dual identity, Arthur not only stumbles upon true love, but also finds the music that's always been inside him.",$57.8M,R (Language Throughout|Brief Full Nudity|Some Sexuality|Some Strong Violence),Todd Phillips,"Scott Silver, Todd Phillips"
https://www.rottentomatoes.com/m/strange_darling,Strange Darling,95%,"Mystery & Thriller, Horror","JT Mollner, Willa Fitzgerald, Kyle Gallner, Ed Begley Jr., Barbara Hershey, Steven Michael Quezada","Oct 1, 2024",1h 36m,English,"Miramax,Spooky Pictures","In Strange Darling, nothing is what it seems when a twisted one-night stand spirals into a serial killer's vicious murder spree.",,R (Sexual Material|Language|Drug Use|Strong/Bloody Violent Content),JT Mollner,JT Mollner
https://www.rottentomatoes.com/m/caddo_lake,Caddo Lake,76%,Mystery & Thriller,"Celine Held, Logan George, Dylan O'Brien, Eliza Scanlen, Lauren Ambrose, Eric Lange","Oct 10, 2024",1h 45m,English,"Blinding Edge Pictures,K Period Media","When an 8-year-old girl mysteriously vanishes, a series of past deaths and disappearances start to link together, forever altering a broken family's history.",,PG-13 (Thematic Elements|Some Disturbing/Bloody Images|Brief Strong Language),"Celine Held, Logan George","Celine Held, Logan George"
https://www.rottentomatoes.com/m/transformers_one,Transformers One,89%,"Animation, Adventure, Fantasy, Sci-Fi, Action","Josh Cooley, Chris Hemsworth, Brian Tyree Henry, Scarlett Johansson, Keegan-Michael Key, Steve Buscemi","Oct 22, 2024",1h 44m,English,"Entertainment One,Hasbro Entertainment,Paramount Animation,Nickelodeon Movies","TRANSFORMERS ONE is the untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",$58.0M,PG (Language|Animated Action Throughout|Sci-Fi Violence),Josh Cooley,"Eric Pearson, Andrew Barrer, Gabriel Ferrari"
https://www.rottentomatoes.com/m/speak_no_evil_2024,Speak No Evil,83%,"Mystery & Thriller, Drama, Horror","James Watkins, James McAvoy, Mackenzie Davis, Scoot McNairy, Aisling Franciosi, Alix West Lefler","Oct 1, 2024",1h 50m,English,"Blumhouse Productions,Universal Pictures","When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",$36.8M,R,James Watkins,James Watkins
